id,title,popularity,release_date
345003,10 Days in a Madhouse,4.893e-01,2015-11-20
129670,Nebraska,2.922e+01,2013-09-21
104755,The Lords of Salem,1.450e+01,2012-09-10
193722,R100,3.214e+00,2013-10-05
335778,Risen,1.666e+01,2016-02-19
621,Grease,6.761e+01,1978-07-07
152532,Dallas Buyers Club,5.945e+01,2013-09-07
9381,Babylon A.D.,2.757e+01,2008-08-20
10569,Small Time Crooks,1.142e+01,2000-05-19
6440,The Shipping News,1.114e+01,2001-12-18
745,The Sixth Sense,7.309e+01,1999-08-06
13551,The Dead Girl,3.070e+00,2006-11-07
1088,Whale Rider,1.244e+01,2003-01-30
38363,Fair Game,1.255e+01,2010-05-20
38031,You Will Meet a Tall Dark Stranger,1.247e+01,2010-05-23
189,Sin City: A Dame to Kill For,8.543e+01,2014-08-20
17908,My Dog Skip,5.676e+00,2000-01-14
8875,Timber Falls,3.688e+00,2007-12-07
20526,TRON: Legacy,7.380e+01,2010-12-10
13435,Antwone Fisher,1.335e+01,2002-12-19
134374,Pain & Gain,3.189e+01,2013-04-18
9286,Final Destination 3,3.164e+01,2006-02-10
